time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ax,ay,az,imu_wx,imu_wy,imu_wz,v_bx,v_by,v_bz,w_bx,w_by,w_bz
79.56,-1.2320173034005302e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-3.660885341136108e-19,-1.6065359591633067e-17,-8.924318668601707e-14,-1.0514863188649651e-13,-1.0875690831967502e-13,1.6924183129619392e-14,1.865280578801673e-18,-0.007767962883010204,0.007767420149707949,-9.799992416876803,-4.6909615684519566e-09,5.964927263825357e-10,-1.1921516834504864e-08,0.8000000000000267,-5.044750121558973e-12,0.0,0.0,0.0,-4.3368086899428804e-14
79.58,-1.605275759930249e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-3.569094675559449e-19,9.806018928838892e-18,-8.928282529684274e-14,-1.0512400731880659e-13,-1.087527024796666e-13,1.6930567793670296e-14,1.2624641310593539e-18,-0.007767966661157302,0.0077674081221048834,-9.799992316500084,-3.838249445644899e-09,4.893941750843414e-10,-1.1676825108586826e-08,0.8000000000000267,-5.036249976526685e-12,0.0,0.0,0.0,0.0
79.6,-6.54923589651355e-20,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-3.0585036548466217e-19,1.3927550755974338e-18,-8.926614198237953e-14,-1.051319895945716e-13,-1.0874639371965448e-13,1.6855681785697313e-14,1.1795928429158494e-17,-0.007767969351016374,0.00776740967759371,-9.799992236119738,-3.1407994339588842e-09,4.01788615591099e-10,-1.1460406605255606e-08,0.8000000000000267,-5.036249976526685e-12,0.0,0.0,0.0,0.0
79.62,2.55825718538757e-20,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-3.2997456650108587e-19,2.90747077780741e-17,-8.92745532791892e-14,-1.0517378358560519e-13,-1.0868194540658731e-13,1.6950383441501802e-14,2.3150011434756933e-17,-0.007767971137563016,0.007767424197568991,-9.799992175450592,-2.570318396088203e-09,3.300991057777844e-10,-1.123854495194314e-08,0.7999999999994583,-5.0362499765231065e-12,0.0,0.0,0.0,0.0
79.64,1.6121789418736102e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-2.306928145400227e-19,1.459104161250576e-17,-8.926502839593229e-14,-1.0506421555505784e-13,-1.0886811567753863e-13,1.6922021893887373e-14,1.2088588250719109e-17,-0.007767924550453156,0.007767065590349823,-9.799992246589735,-2.158650106707337e-09,2.760500312314322e-10,-1.0843694746178653e-08,0.8000000000000045,-5.027402886799202e-12,0.0,0.0,0.0,4.3368086899428804e-14
79.66,9.492330118439507e-20,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-3.199813757289859e-19,-1.5972095408929478e-17,-8.929710809407556e-14,-1.051776994189994e-13,-1.0857667570520634e-13,1.6925519185885457e-14,-4.157516654418128e-18,-0.007767935916350933,0.007767205788395879,-9.799992219671902,-1.0333583250717558e-09,1.2173629913750347e-10,-9.330291407368098e-09,0.8000000000000267,-5.044403176863778e-12,0.0,0.0,0.0,-4.3368086899428804e-14
79.68,2.167813443890418e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-1.164061077220806e-19,2.4843332299643152e-17,-8.92727315466279e-14,-1.051654247873986e-13,-1.0865139121594052e-13,1.6906160843003128e-14,4.5362674635208553e-17,-0.007767944600572163,0.007767349237799133,-9.799992211453914,-8.507848581838983e-12,-2.0439561648318345e-11,-8.055010905205082e-09,0.7999999999994583,-5.0362499765231065e-12,0.0,0.0,0.0,0.0
79.7,1.294368520569107e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-1.7021647364089675e-19,-1.2503084928034924e-17,-8.92791395736477e-14,-1.0516670496370048e-13,-1.086276405900121e-13,1.6932167496933907e-14,-8.859236400763792e-18,-0.007767951293542539,0.007767495609316938,-9.799992222003464,9.294761061204045e-10,-1.5213783770445065e-10,-6.948321514692129e-09,0.8000000000000267,-5.036249976526685e-12,0.0,0.0,0.0,0.0
79.72,8.167039825949185e-20,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-1.475477520211489e-19,-2.0971838766913856e-17,-8.930860455356581e-14,-1.0514004717482504e-13,-1.0863728928179549e-13,1.6914176316564132e-14,1.2670259974024604e-18,-0.007767956519855334,0.007767644343061228,-9.79999225126199,1.7950713967123875e-09,-2.75239679561093e-10,-5.962344153114459e-09,0.8000000000000267,-5.036249976526685e-12,0.0,0.0,0.0,0.0
79.74,-8.322990899637576e-20,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-3.31598406748357e-19,-9.515475663748582e-18,-8.933530001273013e-14,-1.0514546909798605e-13,-1.0865374153829831e-13,1.6924201922966413e-14,1.931330871146366e-18,-0.00776796067078208,0.007767794707084557,-9.79999229908661,2.603997964169135e-09,-3.9195429662024156e-10,-5.065283213202978e-09,0.8000000000000267,-5.027402886799202e-12,0.0,0.0,0.0,4.3368086899428804e-14
