q1,q2,q3,q4,q5,q6,qw,qx,qy,qz,wx,wy,wz
7.773874736141404e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,3.6291415558274886e-21,1.0,1.2423617120907375e-09,2.267964059287916e-09,6.068108618236735e-12,1.9217270157932815e-12,1.2330529033889314e-12,1.2935412844782696e-17
-1.1401320998691678e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-6.231660227471753e-20,1.0,1.2423613796019131e-09,2.267963439586618e-09,6.068108606818401e-12,-9.054456746072765e-13,-1.8310656804730883e-12,-1.2651758425875209e-17
-3.6432619693695204e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.9577574657012127e-20,1.0,1.2423619513921574e-09,2.2679640049691772e-09,6.068108613046832e-12,1.921664399214694e-12,1.2330438689490678e-12,9.486782574540804e-18
-1.8722235099478492e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.1950974921435083e-19,1.0,1.2423610448034125e-09,2.2679639576428806e-09,6.068108604284643e-12,4.400285712989763e-13,2.7615208785924774e-13,-3.089962626291046e-18
-2.6596548676001213e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-8.826400089331259e-20,1.0,1.2423609476886275e-09,2.267964948329173e-09,6.0681086006341326e-12,4.400043684370395e-13,2.762066553209077e-13,1.701343614356896e-18
-1.8723312916477594e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.323091584524077e-19,1.0,1.242359902741468e-09,2.2679644989947413e-09,6.068108583333449e-12,-3.97631351240281e-12,1.5162266725444723e-12,-2.0839653232485735e-17
-3.3716168027309656e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.3609669241937353e-19,1.0,1.242361060179763e-09,2.267963673042646e-09,6.068108589596986e-12,-2.0539050161229166e-12,-6.86308578860985e-13,-6.486551192253631e-18
-6.760337404872768e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.8659499161308666e-19,1.0,1.2423614005595884e-09,2.2679641069542358e-09,6.068108583536997e-12,4.4004984594768564e-13,2.761852141387443e-13,-3.4091517458707754e-18
1.2457873168269354e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-6.403275132955948e-20,1.0,1.242361131123154e-09,2.267964290222414e-09,6.068108576126731e-12,-9.055159656025235e-13,-1.8310607052861616e-12,-1.2898089159463909e-17
1.4919075488902467e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,6.185723625227484e-20,1.0,1.242361406324436e-09,2.267964696783029e-09,6.068108564463703e-12,4.4002246507234044e-13,2.7619361020036764e-13,1.539702737855911e-19
