q1,q2,q3,q4,q5,q6,wx_filt,wy_filt,wz_filt,target_dq1,target_dq2,target_dq3,target_dq4,target_dq5,target_dq6
2.0383078204351554e-14,-1.5699999999949863,1.5700000000125514,-1.5699999999843044,-1.5699999999999257,2.0242138926735047e-15,2.3005860839826538e-07,2.7850721968681193e-09,-0.18832108951291196,0.09416058456388408,2.4995103470705274e-05,2.4995103470721137e-05,2.499510347070954e-05,-7.47524697834551e-05,-0.09416050513222717
1.5154909645735795e-14,-1.5699999999949814,1.5700000000125496,-1.5699999999843088,-1.56999999999993,3.553399009964905e-15,2.1588114735582197e-07,1.9439629805874442e-09,-0.1880774057302166,0.09403874262091527,2.4962481127343203e-05,2.4962481127370508e-05,2.496248112735053e-05,-7.466962132435782e-05,-0.09403866328121083
1.0588166503239352e-14,-1.569999999994977,1.5700000000125496,-1.569999999984311,-1.5699999999999346,5.06802059512692e-15,2.0130094855955476e-07,1.1158128889403543e-09,-0.1878534613477452,0.09392677038223254,2.4932482937781523e-05,2.4932482937765178e-05,2.4932482937777145e-05,-7.459503510607118e-05,-0.09392669112581145
7.306137063079988e-15,-1.5699999999949723,1.5700000000125496,-1.5699999999843133,-1.5699999999999366,6.1292799451116665e-15,1.864007343760383e-07,3.0458615892524634e-10,-0.18765249134600015,0.09382628533877162,2.4905539573542144e-05,2.4905539573554747e-05,2.490553957354553e-05,-7.452991645610047e-05,-0.09382620615566196
5.105032631709467e-15,-1.569999999994968,1.5700000000125496,-1.5699999999843155,-1.5699999999999366,6.785390873232011e-15,1.7125973165846644e-07,-4.861673256436948e-10,-0.1874774421483921,0.09373876070286093,2.4882043270410828e-05,2.4882043270405586e-05,2.4882043270409435e-05,-7.447535930497228e-05,-0.09373868158190733
3.519117381131755e-15,-1.569999999994966,1.5700000000125496,-1.5699999999843175,-1.5699999999999366,7.273807153579319e-15,1.5595385473558797e-07,-1.2533162019763398e-09,-0.18733091557594736,0.09366549738556416,2.486234038853846e-05,2.486234038856528e-05,2.4862340388545658e-05,-7.443232368761539e-05,-0.09366541831457091
2.4580666858551027e-15,-1.5699999999949636,1.5700000000125496,-1.5699999999843182,-1.5699999999999366,7.619023129068233e-15,1.4055595969781747e-07,-1.994145349843361e-09,-0.1872151186972588,0.09360759892164455,2.4846724757505654e-05,2.4846724757526745e-05,2.484672475751131e-05,-7.440161552181694e-05,-0.0936075198875402
2.7333227069020138e-15,-1.5699999999949636,1.5700000000125496,-1.5699999999843182,-1.5699999999999363,7.693967865628564e-15,1.2513615448748373e-07,-2.7063475929527826e-09,-0.18713182105347687,0.09356595008205172,2.483543200176609e-05,2.4835432001763343e-05,2.483543200176535e-05,-7.43838692655067e-05,-0.09356587107107188
4.698435410810759e-15,-1.5699999999949663,1.5700000000125496,-1.5699999999843166,-1.5699999999999354,7.457474423611472e-15,1.0976214854192778e-07,-3.38800980829915e-09,-0.1870823205248949,0.09354119980720686,2.482863501508264e-05,2.4828635015094717e-05,2.4828635015085864e-05,-7.43795339775031e-05,-0.09354112080509198
9.231895952185463e-15,-1.569999999994972,1.5700000000125496,-1.5699999999843133,-1.5699999999999326,6.6078565147612685e-15,9.449962527876596e-08,-4.037593867440024e-09,-0.1870674188277036,0.09353374895537514,2.4826440714880936e-05,2.4826440714861336e-05,2.4826440714875695e-05,-7.438886318828155e-05,-0.09353366994757849
1.7023100408143316e-14,-1.5699999999949807,1.5700000000125496,-1.569999999984308,-1.569999999999927,4.989158941049263e-15,7.941262056517707e-08,-4.653912831125148e-09,-0.18708740729728476,0.09354374319430901,2.482888816314985e-05,2.4828888163130024e-05,2.482888816314455e-05,-7.441190886103845e-05,-0.09354366416621153
2.7468830389274402e-14,-1.5699999999949927,1.5700000000125496,-1.569999999984301,-1.569999999999919,2.7616603531785745e-15,6.456389048838691e-08,-5.236102828671974e-09,-0.1871420632430843,0.09357107117868467,2.4835948092127222e-05,2.4835948092135865e-05,2.4835948092129543e-05,-7.444851957246315e-05,-0.09357099211581106
3.877153501112434e-14,-1.569999999995006,1.5700000000125496,-1.5699999999842935,-1.56999999999991,4.62836319216011e-16,5.001525224477037e-08,-5.7835910867750134e-09,-0.1872306567731227,0.093615367962358,2.484752382069944e-05,2.4847523820695734e-05,2.4847523820698454e-05,-7.449834288935224e-05,-0.09361528885059069
4.7918634321754527e-14,-1.5699999999950172,1.5700000000125496,-1.569999999984287,-1.5699999999999037,-1.0584330922241822e-15,3.582788278111462e-08,-6.296060635177506e-09,-0.18735196761581485,0.09367602340927852,2.4863453498643222e-05,2.4863453498650903e-05,2.4863453498645296e-05,-7.456083176769604e-05,-0.09367594423506442
5.4778053631438415e-14,-1.569999999995026,1.5700000000125496,-1.5699999999842826,-1.5699999999998993,-1.831172061390869e-15,2.2062560936878816e-08,-6.7734123067513055e-09,-0.18750431114817825,0.09375219520759907,2.488351357412704e-05,2.4883513574129085e-05,2.488351357412759e-05,-7.46352546737172e-05,-0.09375211595814566
6.000624662526064e-14,-1.5699999999950327,1.5700000000125496,-1.5699999999842782,-1.569999999999897,-2.309435100100977e-15,8.77984023085184e-09,-7.2157247558408355e-09,-0.18768557259959526,0.09384282597156367,2.4907423346317932e-05,2.490742334632242e-05,2.4907423346319142e-05,-7.472070903024854e-05,-0.09384274663502067
6.39464587480379e-14,-1.5699999999950371,1.5700000000125496,-1.569999999984276,-1.5699999999998948,-2.6756675893145288e-15,-3.9598589118962395e-09,-7.623213323958985e-09,-0.18789324824771989,0.09394666383947008,2.4934850446824534e-05,2.4934850446847607e-05,2.4934850446830727e-05,-7.481613752656786e-05,-0.0939465844050939
6.681192960911706e-14,-1.5699999999950416,1.5700000000125496,-1.5699999999842738,-1.5699999999998926,-2.94458303342642e-15,-1.609624680893648e-08,-7.996188669270444e-09,-0.18812449234779505,0.09406228593833825,2.496541708186642e-05,2.4965417081860903e-05,2.496541708186495e-05,-7.492034680216257e-05,-0.09406220639663639
6.878674868040883e-14,-1.5699999999950438,1.5700000000125496,-1.5699999999842715,-1.5699999999998926,-3.1299556992657828e-15,-2.7569259261586618e-08,-8.335016135031238e-09,-0.18837616851907435,0.09418812407713188,2.49987068657889e-05,2.4998706865782856e-05,2.499870686578731e-05,-7.503202800165405e-05,-0.09418804441998574
