Time_sec,Roll_deg,Pitch_deg,Yaw_deg
146.08,-5.29512e-06,5.97604e-08,-26.1699
146.09,-5.25323e-06,5.97013e-08,-26.3126
146.1,-5.21095e-06,5.96475e-08,-26.4554
146.11,-5.16829e-06,5.95994e-08,-26.5982
146.12,-5.12525e-06,5.95555e-08,-26.741
146.13,-5.08184e-06,5.9516e-08,-26.8837
146.14,-5.03807e-06,5.94802e-08,-27.0265
146.15,-4.99395e-06,5.9448e-08,-27.1693
146.16,-4.94948e-06,5.94185e-08,-27.3121
146.17,-4.90467e-06,5.93922e-08,-27.4548
146.18,-4.85952e-06,5.93683e-08,-27.5976
146.19,-4.81403e-06,5.9347e-08,-27.7404
146.2,-4.76822e-06,5.93274e-08,-27.8832
146.21,-4.72209e-06,5.93098e-08,-28.0259
146.22,-4.67565e-06,5.92939e-08,-28.1687
146.23,-4.62888e-06,5.92801e-08,-28.3115
146.24,-4.58181e-06,5.9267e-08,-28.4543
146.25,-4.53444e-06,5.92556e-08,-28.597
146.26,-4.48677e-06,5.92449e-08,-28.7398
146.27,-4.4388e-06,5.92353e-08,-28.8826
146.28,-4.39053e-06,5.92267e-08,-29.0253
146.29,-4.34198e-06,5.92196e-08,-29.1681
146.3,-4.29315e-06,5.92121e-08,-29.3109
146.31,-4.24403e-06,5.9206e-08,-29.4537
146.32,-4.19463e-06,5.92011e-08,-29.5964
146.33,-4.14499e-06,5.92022e-08,-29.7392
146.34,-4.09511e-06,5.92108e-08,-29.882
146.35,-4.045e-06,5.92374e-08,-30.0247
146.36,-3.99466e-06,5.92778e-08,-30.1674
146.37,-3.94409e-06,5.93284e-08,-30.3102
146.38,-3.89329e-06,5.93864e-08,-30.4529
146.39,-3.84226e-06,5.94494e-08,-30.5956
146.4,-3.79101e-06,5.95157e-08,-30.7383
146.41,-3.73953e-06,5.95842e-08,-30.881
146.42,-3.68783e-06,5.9654e-08,-31.0237
146.43,-3.6359e-06,5.97236e-08,-31.1664
146.44,-3.58376e-06,5.9793e-08,-31.3091
146.45,-3.5314e-06,5.98618e-08,-31.4519
146.46,-3.47883e-06,5.99292e-08,-31.5946
146.47,-3.42605e-06,5.99949e-08,-31.7374
146.48,-3.37305e-06,6.00593e-08,-31.8802
146.49,-3.31985e-06,6.01217e-08,-32.0229
146.5,-3.26645e-06,6.01824e-08,-32.1657
146.51,-3.21285e-06,6.02405e-08,-32.3086
146.52,-3.15904e-06,6.02969e-08,-32.4514
146.53,-3.10504e-06,6.03507e-08,-32.5942
146.54,-3.05085e-06,6.04027e-08,-32.7371
146.55,-2.99647e-06,6.04523e-08,-32.88
146.56,-2.9419e-06,6.04998e-08,-33.0229
146.57,-2.88715e-06,6.05452e-08,-33.1658
146.58,-2.83222e-06,6.05884e-08,-33.3088
146.59,-2.77711e-06,6.06299e-08,-33.4517
146.6,-2.72182e-06,6.06687e-08,-33.5947
146.61,-2.66636e-06,6.07058e-08,-33.7377
146.62,-2.61074e-06,6.07412e-08,-33.8807
146.63,-2.55494e-06,6.07749e-08,-34.0238
146.64,-2.49899e-06,6.08062e-08,-34.1669
146.65,-2.44286e-06,6.08269e-08,-34.31
